"","studentID","Chinese","Mathematics","English","Physical","Chemistry","History","Geography","Biology"
"student1",908875,NA,92,NA,NA,NA,8,13,32
"student2",882691,38,74,NA,NA,7,70,NA,65
"student3",664485,NA,78,NA,NA,16,NA,NA,65
"student4",522136,NA,NA,23,16,NA,94,NA,NA
"student5",636708,17,11,29,NA,NA,75,NA,41
"student6",669657,NA,72,NA,NA,65,20,NA,NA
"student7",562949,71,68,NA,NA,NA,53,NA,NA
"student8",720342,NA,4,30,NA,NA,83,NA,61
"student9",858627,NA,19,32,NA,100,NA,50,57
"student10",376856,43,NA,76,NA,NA,NA,NA,0
"student11",167444,3,2,25,16,NA,NA,NA,69
"student12",953882,NA,43,54,46,NA,65,NA,NA
"student13",945887,NA,39,NA,13,NA,NA,NA,82
"student14",105178,NA,84,NA,NA,NA,NA,NA,13
"student15",761356,NA,17,NA,81,NA,3,NA,96
"student16",637680,11,NA,NA,24,62,66,NA,NA
"student17",963595,46,75,NA,24,NA,NA,NA,NA
"student18",363596,49,NA,NA,NA,NA,NA,5,69
"student19",327214,NA,NA,6,NA,4,NA,48,NA
"student20",269939,75,NA,52,83,NA,28,NA,100
"student21",505163,NA,NA,NA,NA,NA,NA,NA,4
"student22",852635,32,NA,NA,95,NA,94,79,NA
"student23",810552,NA,31,26,NA,43,40,NA,NA
"student24",331693,91,53,48,NA,72,NA,32,22
"student25",791845,49,83,69,23,1,79,NA,35
"student26",554328,25,NA,NA,NA,NA,19,45,81
"student27",656261,83,31,NA,NA,50,63,NA,NA
"student28",419187,NA,NA,37,NA,93,NA,NA,NA
"student29",355704,NA,26,NA,NA,7,19,NA,NA
"student30",936851,59,NA,NA,50,36,38,7,NA
"student31",537538,NA,NA,1,95,59,NA,23,56
"student32",712494,NA,84,56,65,65,NA,NA,8
"student33",570611,NA,NA,16,71,NA,NA,30,NA
"student34",263525,81,NA,10,16,54,92,NA,17
"student35",527795,73,30,0,90,96,NA,NA,37
"student36",581621,96,NA,NA,99,NA,68,78,90
"student37",279325,0,96,NA,98,99,93,69,6
"student38",543016,NA,NA,0,NA,86,NA,23,NA
"student39",962473,NA,70,14,79,82,33,NA,48
"student40",707164,19,NA,NA,NA,35,46,45,NA
"student41",673989,NA,NA,34,49,NA,NA,6,23
"student42",119484,NA,NA,NA,NA,NA,NA,82,NA
"student43",745145,67,NA,73,71,39,NA,9,49
"student44",829942,NA,20,18,34,81,NA,NA,NA
"student45",530786,75,55,NA,50,NA,90,3,NA
"student46",287566,33,90,94,NA,NA,NA,40,NA
"student47",779396,NA,0,NA,NA,NA,59,26,5
"student48",241813,NA,8,56,NA,28,NA,NA,NA
"student49",605626,83,6,NA,94,NA,NA,NA,44
"student50",649617,NA,24,NA,NA,88,29,13,30
"student51",530662,27,68,NA,62,74,72,NA,NA
"student52",604612,NA,NA,NA,NA,92,NA,67,NA
"student53",101302,NA,NA,NA,NA,76,NA,30,31
"student54",762568,NA,3,16,71,69,NA,8,17
"student55",701743,NA,14,52,NA,53,30,NA,81
"student56",675480,NA,NA,7,6,72,57,83,54
"student57",960817,77,17,75,65,NA,84,NA,12
"student58",425372,NA,24,81,63,24,NA,50,83
"student59",337792,80,44,NA,44,14,44,NA,76
"student60",301131,NA,NA,NA,68,NA,NA,24,45
"student61",662638,NA,63,66,NA,26,14,NA,50
"student62",101407,NA,68,47,NA,NA,52,25,NA
"student63",902993,NA,76,75,2,NA,67,12,59
"student64",549464,66,62,57,33,1,NA,NA,69
"student65",896501,NA,NA,88,NA,30,45,NA,34
"student66",706349,NA,NA,59,92,NA,NA,NA,NA
"student67",149028,NA,NA,79,NA,NA,32,53,NA
"student68",351570,5,90,NA,NA,NA,81,NA,NA
"student69",421584,NA,NA,0,15,NA,NA,NA,NA
"student70",527272,74,NA,NA,NA,15,NA,NA,NA
"student71",511834,NA,78,NA,78,NA,NA,11,87
"student72",283450,NA,NA,36,76,86,NA,NA,NA
"student73",886061,52,NA,27,9,NA,NA,30,NA
"student74",723202,NA,NA,NA,50,16,NA,NA,15
"student75",971965,72,58,NA,62,NA,36,NA,28
"student76",699073,13,74,NA,72,90,NA,34,83
"student77",953941,44,59,NA,73,19,48,21,NA
"student78",620338,90,NA,NA,89,100,NA,60,NA
"student79",847254,31,NA,NA,NA,35,NA,12,81
"student80",927659,NA,58,93,NA,9,NA,NA,NA
"student81",547562,75,40,NA,NA,15,NA,NA,NA
"student82",570968,NA,32,NA,NA,NA,NA,22,NA
"student83",248781,2,15,NA,90,NA,NA,NA,58
"student84",293761,NA,NA,NA,NA,81,NA,70,NA
"student85",223908,76,68,NA,NA,12,53,NA,0
"student86",539818,34,53,NA,NA,82,NA,25,4
"student87",681863,78,NA,NA,15,49,NA,NA,41
"student88",774009,84,NA,87,19,0,65,61,53
"student89",471099,16,NA,51,58,NA,NA,74,NA
"student90",687797,76,NA,NA,NA,79,50,34,11
"student91",719297,NA,80,NA,22,82,NA,NA,NA
"student92",410884,NA,42,71,NA,NA,64,NA,7
"student93",433628,NA,62,NA,NA,NA,NA,NA,NA
"student94",610396,NA,38,NA,95,44,19,4,NA
"student95",260909,35,60,NA,49,NA,52,NA,NA
"student96",155029,NA,NA,NA,60,NA,NA,NA,NA
"student97",552868,NA,62,NA,32,49,31,36,100
"student98",558956,NA,15,NA,NA,NA,NA,3,11
"student99",206904,NA,NA,64,NA,100,100,36,75
"student100",497315,21,NA,8,79,NA,NA,NA,53
